movie_name,genre,cast,director,tags
Lamhe,"Drama,Musical,Romance","AnilKapoor, Sridevi, AnupamKher, WaheedaRehman",Yash Chopra,"Yash Chopra's most cherished film with soul stirring music is a story of moments - moments of passion, of ecstasy and of life changing love.Drama,Musical,Romance,Yash Chopra,AnilKapoor, Sridevi, AnupamKher, WaheedaRehman"
Qayamat Se Qayamat Tak,"Drama,Musical,Romance","AamirKhan, JuhiChawla, GogaKapoor, DalipTahil",Mansoor Khan,"Despite knowing that their respective families are bitter enemies, Raj and Rashmi fall in love with each other and decide to elope.Drama,Musical,Romance,Mansoor Khan,AamirKhan, JuhiChawla, GogaKapoor, DalipTahil"
Bunty Aur Babli 2,"Comedy,Romance","SaifAliKhan, RaniMukerji, SiddhantChaturvedi, SharvariWagh",Varun V. Sharma,"Bunty and Babli are forced out of retirement after a spate of robberies with their trademark sigil start appearing across India.Comedy,Romance,Varun V. Sharma,SaifAliKhan, RaniMukerji, SiddhantChaturvedi, SharvariWagh"
Ahsaas,"Drama,Romance","ShashiKapoor, SimiGarewal, RakeshBedi, ChandUsmani",Surindara Suri,"Sudarshan Sahni would like his son, Raju, to marry his Europe-based friend's daughter, Rita, but Raju is in love with Anu, and both plan to marry each other. Anu's dad, Pradeep Rai Choudhry...                See full summary »Drama,Romance,Surindara Suri,ShashiKapoor, SimiGarewal, RakeshBedi, ChandUsmani"
Harami,"Crime,Drama,Romance","EmraanHashmi, RizwanShaikh, DhanshreePatil, HarshRajendraRane",Shyam Madiraju,"An orphan teenage pickpocket working in the trains of Mumbai along with his gang, embarks on a life-altering journey when faced by the daughter of one of his victims who's committed suicide after being robbed.Crime,Drama,Romance,Shyam Madiraju,EmraanHashmi, RizwanShaikh, DhanshreePatil, HarshRajendraRane"
Kudrat,"Drama,Mystery,Romance","RajeshKhanna, RaajKumar, HemaMalini, VinodKhanna",Chetan Anand,"Chandramukhi visits Shimla and learns that she is a reincarnation of Paro, a girl who was raped and murdered. Plagued by her dark past, she attempts to bring the culprits to justice.Drama,Mystery,Romance,Chetan Anand,RajeshKhanna, RaajKumar, HemaMalini, VinodKhanna"
Kisna: The Warrior Poet,"Drama,Musical,Romance","VivekOberoi, IshaSharvani, AntoniaBernath, SushmitaSen",Subhash Ghai,"A man befriends and protects a British girl from a group of nationalists that want England to hand India back to them. They fall for each other, but the man is due to marry.Drama,Musical,Romance,Subhash Ghai,VivekOberoi, IshaSharvani, AntoniaBernath, SushmitaSen"
Jal,Drama,"PurabKohli, TannishthaChatterjee, KirtiKulhari, MukulDev",Girish Malik,"A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.Drama,Girish Malik,PurabKohli, TannishthaChatterjee, KirtiKulhari, MukulDev"
Ek Gulelbaaz the Catapult,"Drama,Family","GauriShankar, AishwaryaArora, HemantPandey, ManojKumar",Manoj Kumar,"Add a PlotDrama,Family,Manoj Kumar,GauriShankar, AishwaryaArora, HemantPandey, ManojKumar"
Jail Yatra,"Action,Romance","AshokKumar, VinodKhanna, ReenaRoy, AmjadKhan",Bhappi Sonie,"Raju comes from a middle-class family, and lives with his mother. He meets with nurse Shobha, and both fall in love. The only problem is that Raju somehow or other always gets mixed up in ...                See full summary »Action,Romance,Bhappi Sonie,AshokKumar, VinodKhanna, ReenaRoy, AmjadKhan"
Fraud Saiyyan,"Comedy,Drama","ArshadWarsi, SaurabhShukla, FloraSaini, SaraLoren",Sourabh Shrivastava,"Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money.Comedy,Drama,Sourabh Shrivastava,ArshadWarsi, SaurabhShukla, FloraSaini, SaraLoren"
Barot House,"Mystery,Thriller","AmitSadh, ManjariFadnnis, AaryanMenghji, KishaaArora",Bugs Bhargava Krishna,"A series of inexplicable and gruesome killings tear the Barot family apart and destroy the close relationship between father and son. Who could be behind this mindless slaughter? When the ...                See full summary »Mystery,Thriller,Bugs Bhargava Krishna,AmitSadh, ManjariFadnnis, AaryanMenghji, KishaaArora"
The Attacks of 26/11,"Action,Crime,Drama","NanaPatekar, AtulKulkarni, SanjeevJaiswal, Rahaao",Ram Gopal Varma,"The real story of ten terrorists, who sail to Mumbai and wage war on the populace for the next 72 hours.Action,Crime,Drama,Ram Gopal Varma,NanaPatekar, AtulKulkarni, SanjeevJaiswal, Rahaao"
Son of Sardaar,"Action,Comedy,Romance","AjayDevgn, SanjayDutt, SonakshiSinha, JuhiChawla","Ashwani Dhir, Anil Devgan","A guest tries to stay inside the house of a man who can't kill him unless he's outside, because of believing guest to be equal to God.Action,Comedy,Romance,Ashwani Dhir, Anil Devgan,AjayDevgn, SanjayDutt, SonakshiSinha, JuhiChawla"
Rocky,"Action,Romance","SanjayDutt, ReenaRoy, TinaAmbani, RanjeetBedi","Sunil Dutt, Raj Khosla","Shankar a union leader looses his life in accident at work site while he was fighting with his boss Ratanlal for rights of workers,Ratanlal decides to agree on Shankar's demands after his ...                See full summary »Action,Romance,Sunil Dutt, Raj Khosla,SanjayDutt, ReenaRoy, TinaAmbani, RanjeetBedi"
Mere Aagosh Mein,Thriller,"RanaJungBahadur, Kanchan, KirtiShetty, BalliGrover",B. Prasad,"A woman who dumps her boyfriend for a rich, older man regrets that choice when her ex takes up with her new stepdaughter.Thriller,B. Prasad,RanaJungBahadur, Kanchan, KirtiShetty, BalliGrover"
Narasimha,"Action,Drama","SunnyDeol, DimpleKapadia, UrmilaMatondkar, RaviBehl",N. Chandra,"With the help of his strongest henchman; Narasimha, Baapji eliminates his enemies from the city. But what happens when the sleeping morals of your toughest ally awaken, and he not only opposes you, but aligns with your enemy?Action,Drama,N. Chandra,SunnyDeol, DimpleKapadia, UrmilaMatondkar, RaviBehl"
The Burning Train,"Action,Thriller","Dharmendra, VinodKhanna, Jeetendra, VinodMehra",Ravi Chopra,"A dedicated railway employee's plan to introduce an express train result in sabotage.Action,Thriller,Ravi Chopra,Dharmendra, VinodKhanna, Jeetendra, VinodMehra"
Dostana,"Action,Crime,Drama","AmitabhBachchan, ShatrughanSinha, ZeenatAman, PremChopra",Raj Khosla,"Vijay Varma (Amitabh Bachchan) and Ravi Kapoor (Shatrughan Sinha) are two close childhood friends. When they thought they have matured enough they decides to enter law policy: one as a ...                See full summary »Action,Crime,Drama,Raj Khosla,AmitabhBachchan, ShatrughanSinha, ZeenatAman, PremChopra"
Bemisal,"Drama,Family","AmitabhBachchan, RakheeGulzar, VinodMehra, DevenVerma",Hrishikesh Mukherjee,"'Bemisal' is the story of noble orphan Sudhir, who sacrifices everything he has, from the love of his life to his profession and reputation, to save his foster family.Drama,Family,Hrishikesh Mukherjee,AmitabhBachchan, RakheeGulzar, VinodMehra, DevenVerma"
Chhota Bheem Himalayan Adventure,Animation,"JignaBhardwaj, RupaBhimani, SonalKaushal, KetanKava",Rosauro Adorable,"When Hidimbak attacks manali Bheem has to stop that strong man,Animation,Rosauro Adorable,JignaBhardwaj, RupaBhimani, SonalKaushal, KetanKava"
Vijay,"Action,Drama,Romance","AnilKapoor, RajeshKhanna, RishiKapoor, HemaMalini",Yash Chopra,"Vijay is a story about people that are bound by relationships of love and friendship and how they become foes and take up weapons against each other.Action,Drama,Romance,Yash Chopra,AnilKapoor, RajeshKhanna, RishiKapoor, HemaMalini"
Ghazab,"Action,Comedy,Drama","RanjeetBedi, SeemaDeo, Dharmendra, KrishanDhawan",C.P. Dixit,"Ajay alias Munna Babu is a semi-senile, gentle but naive young man who has a wealthy family estate. His employees and alleged well-wishers (Arjun Singh, Jatha Shankar, Munishi Gurbachan, ...                See full summary »Action,Comedy,Drama,C.P. Dixit,RanjeetBedi, SeemaDeo, Dharmendra, KrishanDhawan"
Free Entry,"Drama,Romance","AnilNagrath, AmitPachori, SapnaSappu",Kanti Shah,"The movie is a story of twin sisters coveting the same man. Bobby is a working girl in Bangkok while her twin sister, Julie, is interested in only having a good time. Bobby meets Rocky at ...                See full synopsis »Drama,Romance,Kanti Shah,AnilNagrath, AmitPachori, SapnaSappu"
Commando,"Action,Drama,Romance","MithunChakraborty, Mandakini, HemantBirje, Kim",Babbar Subhash,"Chander joins the army as a Commando but has to deal with the corrupt officials who deal with international criminals.Action,Drama,Romance,Babbar Subhash,MithunChakraborty, Mandakini, HemantBirje, Kim"
Jaal,"Action,Drama,Thriller","Rekha, MithunChakraborty, Mandakini, MoonMoonSen",Umesh Mehra,"Shankar Verma lives a poor lifestyle with his mom, Shanti, in India after His father, Sathpal, leaves the family for a courtesan by the name of Meenabai. Years later, Shankar has now grown ...                See full summary »Action,Drama,Thriller,Umesh Mehra,Rekha, MithunChakraborty, Mandakini, MoonMoonSen"
Shaapit: The Cursed,"Adventure,Horror,Romance","AdityaNarayan, ShwetaAgarwal, RahulDev, ShubhJoshi",Vikram Bhatt,"In order to wed his sweetheart, a male must reverse a 350-year old curse on her family.Adventure,Horror,Romance,Vikram Bhatt,AdityaNarayan, ShwetaAgarwal, RahulDev, ShubhJoshi"
